POW_SA2_CODE_2021,zone_tier,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
106021615,core,0,7,0,5,0,0,0,0,0,0,31,19,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,3,0,0,0,3,4,7,0,0,0,3,19,28,5,9,16,5,3,4,15,35,47,0,0,0,0,0,0,4,7,6,4,7,6,0,0,0,28,46,72,7,4,13,36,49,87,0,0,0,0,11,11,30,32,60,34,43,74,0,0,0,7,13,20,0,0,0,7,0,6,16,22,32,4,6,8,113,419,533,0,0,0,13,13,22,120,439,559,0,8,6,0,0,4,45,92,135,28,197,226,32,258,293,109,555,662,0,0,0,0,0,0,0,0,6,0,7,11,0,0,0,8,11,14,0,0,0,21,13,35,14,74,87,0,0,0,35,90,124,22,35,56,18,13,34,1076,1973,3048
106021616,core,0,0,3,4,17,5,21,8,10,19,232,58,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,10,0,0,0,5,3,7,3,6,3,0,0,0,5,5,16,0,0,0,38,8,52,0,8,7,43,13,58,0,5,5,82,53,135,7,0,12,92,55,148,0,0,0,37,13,53,40,72,115,78,92,167,0,0,0,6,15,20,0,0,0,33,17,48,39,26,74,8,15,19,39,164,207,3,3,8,23,41,63,69,226,300,5,3,7,0,3,7,4,23,27,0,13,12,69,156,220,76,191,272,0,0,0,0,0,0,0,5,4,11,18,27,0,0,0,12,21,36,0,0,0,372,64,430,23,99,121,0,0,0,392,157,551,233,66,301,43,24,69,3831,1815,5648
106021617,core,0,3,0,3,0,0,6,0,0,0,23,5,28,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,9,9,3,9,5,5,0,8,9,14,22,0,0,0,0,0,0,6,6,5,6,6,5,0,0,0,31,54,86,5,4,4,35,60,98,0,0,0,3,6,12,16,9,25,24,17,39,0,0,0,23,14,40,0,0,0,4,5,5,28,16,47,0,0,0,116,308,428,0,0,3,8,4,13,124,320,442,0,3,3,0,3,5,6,44,53,8,3,7,16,113,129,27,167,195,0,0,0,3,0,4,3,4,7,7,8,13,0,0,0,17,9,26,0,0,0,9,0,13,0,31,31,0,0,0,9,36,43,24,13,36,9,5,14,677,928,1606
106021618,core,0,23,8,30,5,0,8,8,3,12,416,93,505,0,0,0,0,5,11,0,3,3,0,0,0,0,0,0,5,0,4,3,0,9,0,0,0,13,10,17,3,0,6,4,3,12,0,9,9,11,10,18,19,27,42,0,0,0,72,15,85,19,20,40,91,36,129,0,0,0,191,87,277,66,24,90,261,114,371,0,0,0,14,11,24,63,128,190,75,134,216,0,0,0,28,26,54,10,3,18,54,13,65,94,46,139,5,8,6,54,235,292,3,3,3,14,41,51,75,283,359,3,12,16,0,3,3,24,81,106,4,20,26,130,441,572,165,557,724,0,0,0,0,0,0,0,0,0,4,11,17,0,0,0,6,11,19,0,0,0,130,25,157,19,59,81,0,4,4,149,93,240,195,85,278,44,28,73,3469,2291,5760
106031119,core,10,0,5,3,57,7,69,0,5,0,83,21,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5,0,5,0,4,7,0,0,0,0,0,0,6,6,6,6,5,7,0,0,0,19,28,43,8,0,8,25,25,53,0,0,0,3,5,11,19,24,43,20,32,52,0,0,0,18,15,37,0,0,0,0,3,3,16,16,38,4,0,5,8,63,73,0,3,4,0,9,7,16,73,92,0,0,0,0,0,0,10,12,17,9,3,11,4,39,47,13,63,75,0,0,0,17,9,27,5,0,3,4,9,9,0,0,0,17,17,38,0,0,0,23,3,23,14,33,50,0,0,0,38,39,72,10,18,26,12,7,19,547,509,1058
106031120,core,0,6,3,7,0,0,0,0,0,0,17,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,13,0,0,0,0,0,7,6,15,19,0,0,0,0,3,3,6,17,15,6,17,24,0,0,0,12,17,32,7,0,5,17,20,38,0,0,0,5,8,9,26,12,38,26,18,48,0,0,0,6,5,11,0,0,6,6,0,8,9,11,19,0,3,6,8,49,62,0,0,0,5,7,12,20,54,80,0,0,0,0,3,3,14,53,72,3,38,42,8,36,50,28,130,159,0,0,0,0,0,0,0,0,0,5,8,13,0,0,0,6,7,11,0,0,0,18,0,21,4,34,37,0,0,0,25,37,60,6,11,16,6,8,16,409,537,947
106031121,core,29,27,19,50,17,9,24,6,3,7,113,65,173,0,0,0,0,4,7,4,6,11,0,0,0,0,0,0,4,9,12,4,0,4,0,0,0,17,17,35,0,0,6,17,40,59,4,7,16,18,25,42,44,78,111,0,0,0,0,4,7,45,104,151,49,108,158,4,0,5,137,161,303,34,12,43,183,175,352,0,0,0,18,56,73,79,98,183,99,157,258,0,0,0,108,98,210,0,5,8,42,3,49,152,111,264,4,9,9,114,398,515,11,13,22,17,58,75,144,470,614,0,10,9,12,63,75,80,300,384,85,433,517,27,160,184,210,963,1168,4,0,9,12,11,20,4,11,16,55,50,97,0,0,0,77,75,146,0,0,0,93,16,106,49,157,200,0,0,0,138,170,311,88,92,185,48,28,78,3158,4141,7303
106031122,core,0,19,14,31,46,9,55,16,5,21,371,78,447,0,0,4,3,3,5,4,4,12,0,0,0,0,0,0,11,6,18,0,0,0,0,0,0,19,16,39,4,0,4,15,50,66,0,6,9,0,7,7,23,67,84,0,0,0,46,6,51,19,37,51,58,44,97,0,0,0,114,137,252,14,0,15,127,142,269,0,0,0,46,67,109,46,59,107,88,128,217,0,0,0,266,290,554,20,95,114,123,64,179,405,445,857,6,4,6,131,464,591,3,5,3,5,21,22,146,486,633,4,13,21,0,34,36,60,178,240,23,100,119,64,334,400,156,662,817,0,0,0,0,9,5,0,0,4,13,21,37,0,0,0,16,30,51,0,0,0,296,44,339,26,81,107,0,0,0,327,127,449,283,87,371,98,63,158,7362,4258,11626
106031123,core,0,4,4,9,0,0,0,0,0,0,63,23,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,3,3,10,3,3,8,0,0,0,3,0,6,3,3,4,4,3,8,0,0,0,22,16,39,3,5,9,28,20,41,0,0,0,5,3,9,16,12,25,19,18,32,0,0,0,0,6,6,0,0,0,0,0,5,0,9,10,0,9,5,9,51,60,0,4,4,6,4,10,20,65,86,0,0,0,0,0,0,3,13,20,0,3,6,8,8,21,17,27,46,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,11,3,15,0,0,0,17,8,30,0,11,10,0,0,0,22,23,43,13,8,17,4,10,13,475,326,808
106031124,external,0,3,9,10,6,0,6,0,0,0,21,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,11,0,0,0,5,8,12,3,0,4,0,0,3,8,10,18,0,0,0,0,0,0,15,25,32,13,25,36,0,0,0,20,16,32,0,4,0,22,16,40,0,0,0,4,4,11,20,12,34,29,20,39,0,0,0,17,10,24,0,0,0,3,0,4,18,14,29,3,0,8,9,34,41,0,0,0,9,14,21,16,53,69,0,0,0,0,0,3,18,38,56,30,147,179,6,25,27,58,212,265,0,0,0,3,0,6,0,0,0,15,13,26,0,0,7,22,19,37,0,0,0,17,3,21,8,12,21,0,0,0,24,16,40,20,25,40,9,5,16,548,669,1222
106031125,core,12,16,3,16,73,47,122,3,0,6,229,98,321,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,8,3,12,3,0,4,0,0,0,15,8,20,0,5,3,3,15,19,3,6,5,7,4,7,12,26,39,0,0,0,10,10,17,14,28,41,25,35,58,0,0,0,273,114,383,338,79,414,605,194,801,0,0,0,22,29,49,35,57,92,53,83,140,0,0,0,21,15,34,2018,659,2680,87,37,124,2124,709,2839,4,0,4,67,230,302,66,14,78,9,18,29,150,272,420,0,4,8,0,6,6,25,118,143,4,11,17,22,130,150,49,266,318,0,5,4,17,16,30,0,8,8,27,12,34,0,0,0,37,37,73,0,0,0,50,9,59,27,71,97,0,0,0,79,81,161,83,31,116,45,32,73,4789,2522,7307
106041126,external,0,17,15,37,29,11,40,0,3,7,136,58,189,0,0,0,0,0,0,0,5,10,9,7,11,0,0,0,3,0,11,0,0,0,0,0,0,16,13,27,0,0,0,7,28,37,0,5,7,4,9,8,10,44,52,0,0,0,30,9,33,27,37,63,50,44,99,0,0,0,71,113,182,4,4,12,77,117,195,0,0,0,118,96,212,23,63,85,143,155,300,0,0,0,71,141,208,3,0,3,105,88,193,168,234,403,0,0,4,54,332,382,15,22,40,14,17,32,81,375,458,0,7,11,14,154,171,31,119,152,5,50,58,40,261,305,97,592,693,0,0,0,0,3,4,0,4,7,24,19,49,0,0,0,32,27,64,0,0,0,242,52,295,14,82,96,0,0,0,256,130,385,139,42,180,80,43,124,5295,3306,8603
