road_variant_ref,edge_id,name,corridor_class,fields_changed,field_num_lanes_per_dir_from,field_num_lanes_per_dir_to,num_lanes_observed_source,field_kerbside_use_from,field_kerbside_use_to,kerbside_observed_source,capacity_veh_hr_lane,signal_cycle_s,tram_lane_present,source,sweep_low,sweep_high,rationale
net_base2026_hunter_st_full_capacity,w190524730,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,kerbside_use,2.0,,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w630409401,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w1321958647,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w630403515,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w902502658,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,clearway,parking,osm,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w902502665,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w190524729,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w415393717,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w880437946,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w847353665,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w880437935,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,kerbside_use,2.0,,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w880437938,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w1320077081,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w31731520,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,800,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w380459173,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c,num_lanes_per_dir;kerbside_use,1.0,2.0,imputed_rule,clearway,parking,osm,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w676281537,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c,kerbside_use,2.0,,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w415482986,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c,kerbside_use,2.0,,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w1368036108,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,300,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w902502657,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c,num_lanes_per_dir;kerbside_use,1.0,2.0,imputed_rule,clearway,parking,osm,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w902502656,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c,num_lanes_per_dir;kerbside_use,1.0,2.0,imputed_rule,clearway,parking,osm,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w902502655,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c,num_lanes_per_dir;kerbside_use,1.0,2.0,imputed_rule,clearway,parking,osm,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w847353663,Hunter Street,corridor_trunk:base2026;corridor_trunk:S2c,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,300,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w902505447,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c,num_lanes_per_dir;kerbside_use,1.0,2.0,imputed_rule,clearway,parking,osm,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_broadmeadow_extension,w1324848034,Stewart Avenue,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,num_lanes_per_dir;kerbside_use,2.0,1.0,osm,unknown,clearway,imputed_rule,1800,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w170539325,Stewart Avenue,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,num_lanes_per_dir;kerbside_use,2.0,1.0,osm,unknown,clearway,imputed_rule,1800,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w880437940,Darby Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w327722943,Steel Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1200,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w1413391461,Watt Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w630403517,Watt Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w665238120,Worth Place,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1200,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w764481382,Watt Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w880838119,Auckland Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1200,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w1324848035,Stewart Avenue,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,num_lanes_per_dir;kerbside_use,3.0,2.0,osm,unknown,clearway,imputed_rule,1800,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w630409402,Merewether Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w575626859,Stewart Avenue,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,num_lanes_per_dir;kerbside_use,4.0,3.0,osm,unknown,clearway,imputed_rule,1800,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w380459178,Steel Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1200,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w32071786,Worth Place,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1200,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w18067875,Auckland Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1200,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w880437941,Darby Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,num_lanes_per_dir;kerbside_use,1.5,1.0,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w880437944,Merewether Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w575630149,Stewart Avenue,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,num_lanes_per_dir;kerbside_use,2.0,1.0,imputed_rule,unknown,clearway,imputed_rule,1800,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w175584586,Stewart Avenue,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,num_lanes_per_dir;kerbside_use,3.0,2.0,osm,unknown,clearway,imputed_rule,1800,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w383586433,Merewether Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w880437943,Darby Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,num_lanes_per_dir;kerbside_use,2.0,1.0,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w80503130,Watt Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w1000972295,Steel Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1200,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w532949916,Stewart Avenue,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,num_lanes_per_dir;kerbside_use,2.0,1.0,imputed_rule,unknown,clearway,imputed_rule,1800,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w1413391460,Watt Street,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w190695340,Wharf Road,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w18302149,Wharf Road,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w170540984,Wharf Road,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w575626865,Stewart Avenue,corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,3.0,2.0,osm,unknown,clearway,imputed_rule,1800,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w173149219,Worth Place,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1200,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w1413391459,Watt Street,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w552629230,Honeysuckle Drive,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w1000972294,Steel Street,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1200,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w1075261404,Honeysuckle Drive,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w1413391472,King Street,corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.5,1.0,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w291699371,Merewether Street,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w291699372,Merewether Street,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w867849754,King Street,corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.5,1.0,osm,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w32071876,Honeysuckle Drive,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w1075261405,Honeysuckle Drive,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w891085244,Honeysuckle Drive,corridor_trunk:S4;corridor_trunk:S5,kerbside_use,1.0,,imputed_rule,unknown,clearway,imputed_rule,1400,110,1,assumed,0,1,"extension kerbside take: the street is already single-lane, so the tram takes the kerbside rather than a running lane. Assumed"
net_base2026_broadmeadow_extension,w419699915,Hunter Street,corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,2.0,1.0,osm,unknown,clearway,imputed_rule,1600,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w884004470,Maitland Road,corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,2.0,1.0,osm,unknown,clearway,imputed_rule,1600,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
net_base2026_broadmeadow_extension,w1329808181,Maitland Road,corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,2.0,1.0,osm,unknown,clearway,imputed_rule,1600,110,1,assumed,0,1,"extension lane take: one lane per direction to the tram, mirroring the as-built corridor. Assumed and swept"
